"id","stop_id","suburb_name","lat","lon"
"83","2768144","Glenwood","-33.7522921300285","150.951606800532"
"84","2768145","Glenwood","-33.7479491763335","150.94962742762"
"85","2768146","Glenwood","-33.7400830316306","150.946235451642"
"86","2768147","Glenwood","-33.7398397105523","150.945954643261"
"87","2768148","Glenwood","-33.7327220010279","150.942824167282"
"88","2768149","Glenwood","-33.734439346834","150.943787237371"
"89","276815","Glenwood","-33.7377408163566","150.9236289632"
"90","2768150","Glenwood","-33.7217534984592","150.932163560332"
"91","2768151","Glenwood","-33.7223447516812","150.931424910129"
"92","2768152","Glenwood","-33.7286375637454","150.923408111843"
"93","2768153","Glenwood","-33.7286073965275","150.92322339774"
"94","2768154","Glenwood","-33.7352750848487","150.919558263064"
"95","2768155","Glenwood","-33.7353509321392","150.919723500316"
